metric,lightgbm,spy_benchmark
Annual Return,0.033330286722563995,0.12326432561920098
Volatility,0.05733529739695178,0.16996287930331738
Sharpe Ratio,0.5813221945738795,0.7252425875111025
Sortino Ratio,0.8168063250857079,0.9961446660560671
Max Drawdown,-0.09501808326338235,-0.24496403026291824
Calmar Ratio,0.3507783157695575,0.5031935523552854
Win Rate,0.5350877192982456,0.5431309904153354
Profit Factor,1.1136672466814523,1.14752573720334
Avg Rank IC,0.016942191327042513,
IC Info Ratio,0.1951241419550386,
Total Return,0.1772176524609812,0.7815877932052462
